Tema,Ciudad,Fecha,Número de lote,URL,Título del lote,Nombre del artista,Precio estimado,Precio de venta,URL imagen
British and European Art,LONDON,4 JUN 2024,LOT 52,https://www.christies.com/en/lot/lot-6486323?ldp_breadcrumb=back,"Sunny April Morning, Betws-y-Coed, North Wales","JAMES THOMAS WATTS (BRITISH, 1853-1930)","GBP 2,000 - 3,000","GBP 5,040",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0052_000(james_thomas_watts_sunny_april_morning_betws-y-coed_north_wales121718).jpg
British and European Art,LONDON,4 JUN 2024,LOT 53,https://www.christies.com/en/lot/lot-6486325?ldp_breadcrumb=back,An October Afterglow,"JOHN ATKINSON GRIMSHAW (BRITISH, 1836-1893)","GBP 150,000 - 250,000","GBP 176,400",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0053_000(john_atkinson_grimshaw_an_october_afterglow121737).jpg
British and European Art,LONDON,4 JUN 2024,LOT 54,https://www.christies.com/en/lot/lot-6486327?ldp_breadcrumb=back,London Bridge,"JOHN ATKINSON GRIMSHAW (BRITISH, 1836-1893)","GBP 60,000 - 80,000","GBP 88,200",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0054_000(john_atkinson_grimshaw_london_bridge121755).jpg
British and European Art,LONDON,4 JUN 2024,LOT 55,https://www.christies.com/en/lot/lot-6486329?ldp_breadcrumb=back,"Evening, St Hilda's Abbey, Whitby, Yorkshire","ALBERT GOODWIN, R.W.S. (BRITISH, 1845-1932)","GBP 7,000 - 10,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0055_000(albert_goodwin_rws_evening_st_hildas_abbey_whitby_yorkshire121811).jpg
British and European Art,LONDON,4 JUN 2024,LOT 56,https://www.christies.com/en/lot/lot-6486331?ldp_breadcrumb=back,The seine fishers,"CHARLES NAPIER HEMY, R.A., R.W.S. (BRITISH, 1841-1917)","GBP 10,000 - 15,000","GBP 3,780",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0056_000(charles_napier_hemy_ra_rws_the_seine_fishers121828).jpg
British and European Art,LONDON,4 JUN 2024,LOT 57,https://www.christies.com/en/lot/lot-6486333?ldp_breadcrumb=back,Am Quell (At the Source),"ARNOLD BÖCKLIN (SWISS, 1827-1901)","GBP 100,000 - 150,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0057_000(arnold_bocklin_am_quell121844).jpg
British and European Art,LONDON,4 JUN 2024,LOT 58,https://www.christies.com/en/lot/lot-6486334?ldp_breadcrumb=back,Nemi. Le Pêcheur d’écrevisses,"JEAN-BAPTISTE-CAMILLE COROT (FRENCH, 1796-1875)","GBP 50,000 - 80,000","GBP 50,400",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0058_000(jean-baptiste-camille_corot_nemi_le_pecheur_d8217ecrevisses121906).jpg
British and European Art,LONDON,4 JUN 2024,LOT 59,https://www.christies.com/en/lot/lot-6486335?ldp_breadcrumb=back,Jeune femme étendue sur l’herbe,"JEAN-BAPTISTE-CAMILLE COROT (FRENCH, 1796-1875)","GBP 120,000 - 180,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0059_000(jean-baptiste-camille_corot_jeune_femme_etendue_sur_l8217herbe121928).jpg
British and European Art,LONDON,4 JUN 2024,LOT 60,https://www.christies.com/en/lot/lot-6486336?ldp_breadcrumb=back,Les buveurs de bière,"HONORÉ DAUMIER (FRENCH, 1808-1879)","GBP 150,000 - 200,000","GBP 201,600",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0060_000(honore_daumier_les_buveurs_de_biere121945).jpg
British and European Art,LONDON,4 JUN 2024,LOT 61,https://www.christies.com/en/lot/lot-6486343?ldp_breadcrumb=back,Le Ruisseau de Puits Noir,"GUSTAVE COURBET (FRENCH, 1819–1877)","GBP 70,000 - 100,000","GBP 81,900",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0061_000(gustave_courbet_le_ruisseau_de_puits_noir122006).jpg
British and European Art,LONDON,4 JUN 2024,LOT 62,https://www.christies.com/en/lot/lot-6486348?ldp_breadcrumb=back,Nature morte au bouquet de fleurs,"JEAN-BAPTISTE-CAMILLE COROT (FRENCH, 1796-1875)","GBP 12,000 - 18,000","GBP 32,760",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0062_000(jean-baptiste-camille_corot_nature_morte_au_bouquet_de_fleurs122033).jpg
British and European Art,LONDON,4 JUN 2024,LOT 63,https://www.christies.com/en/lot/lot-6486350?ldp_breadcrumb=back,"Torbole, near Lake Garda","PEDER MØRK MØNSTED (DANISH, 1859-1941)","GBP 30,000 - 50,000","GBP 8,820",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0063_000(peder_m%C3%B8rk_m%C3%B8nsted_torbole_near_lake_garda122051).jpg
